dot_file,source_file,label,node_id,token,type
ast_0.dot,../ast/code/example.py,___ast_code_example_py,0,null,file_input
ast_0.dot,../ast/code/example.py,___ast_code_example_py,1,null,stmt|simple_stmt
ast_0.dot,../ast/code/example.py,___ast_code_example_py,4,null,small_stmt|import_stmt|import_from
ast_0.dot,../ast/code/example.py,___ast_code_example_py,6,from,FROM
ast_0.dot,../ast/code/example.py,___ast_code_example_py,7,null,dotted_name
ast_0.dot,../ast/code/example.py,___ast_code_example_py,10,sklearn,NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,11,.,DOT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,12,linearmodel,NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,8,import,IMPORT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,9,logisticregression,import_as_names|import_as_name|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,5,EMPTY_TOKEN,NEWLINE
ast_0.dot,../ast/code/example.py,___ast_code_example_py,2,null,stmt|compound_stmt|classdef
ast_0.dot,../ast/code/example.py,___ast_code_example_py,13,class,CLASS
ast_0.dot,../ast/code/example.py,___ast_code_example_py,14,logisticregressionmodel,NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,15,:,COLON
ast_0.dot,../ast/code/example.py,___ast_code_example_py,16,null,suite
ast_0.dot,../ast/code/example.py,___ast_code_example_py,17,_,NEWLINE
ast_0.dot,../ast/code/example.py,___ast_code_example_py,18,____,INDENT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,19,null,stmt|compound_stmt|funcdef
ast_0.dot,../ast/code/example.py,___ast_code_example_py,21,def,DEF
ast_0.dot,../ast/code/example.py,___ast_code_example_py,22,init,NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,23,null,parameters
ast_0.dot,../ast/code/example.py,___ast_code_example_py,26,(,OPEN_PAREN
ast_0.dot,../ast/code/example.py,___ast_code_example_py,27,null,typedargslist
ast_0.dot,../ast/code/example.py,___ast_code_example_py,29,self,tfpdef|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,30,EMPTY_TOKEN,COMMA
ast_0.dot,../ast/code/example.py,___ast_code_example_py,31,traininputs,tfpdef|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,28,),CLOSE_PAREN
ast_0.dot,../ast/code/example.py,___ast_code_example_py,24,:,COLON
ast_0.dot,../ast/code/example.py,___ast_code_example_py,25,null,suite
ast_0.dot,../ast/code/example.py,___ast_code_example_py,32,_,NEWLINE
ast_0.dot,../ast/code/example.py,___ast_code_example_py,33,________,INDENT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,34,null,stmt|simple_stmt
ast_0.dot,../ast/code/example.py,___ast_code_example_py,37,null,small_stmt|expr_stmt
ast_0.dot,../ast/code/example.py,___ast_code_example_py,39,null,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr
ast_0.dot,../ast/code/example.py,___ast_code_example_py,42,self,atom|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,43,null,trailer
ast_0.dot,../ast/code/example.py,___ast_code_example_py,44,.,DOT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,45,traininputs,NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,40,=,ASSIGN
ast_0.dot,../ast/code/example.py,___ast_code_example_py,41,traininputs,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,38,_,NEWLINE
ast_0.dot,../ast/code/example.py,___ast_code_example_py,35,null,stmt|simple_stmt
ast_0.dot,../ast/code/example.py,___ast_code_example_py,46,null,small_stmt|expr_stmt
ast_0.dot,../ast/code/example.py,___ast_code_example_py,48,null,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr
ast_0.dot,../ast/code/example.py,___ast_code_example_py,51,self,atom|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,52,null,trailer
ast_0.dot,../ast/code/example.py,___ast_code_example_py,53,.,DOT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,54,model,NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,49,=,ASSIGN
ast_0.dot,../ast/code/example.py,___ast_code_example_py,50,null,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr
ast_0.dot,../ast/code/example.py,___ast_code_example_py,55,logisticregression,atom|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,56,null,trailer
ast_0.dot,../ast/code/example.py,___ast_code_example_py,57,(,OPEN_PAREN
ast_0.dot,../ast/code/example.py,___ast_code_example_py,58,null,arglist|argument
ast_0.dot,../ast/code/example.py,___ast_code_example_py,60,randomstate,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME
ast_0.dot,../ast/code/example.py,___ast_code_example_py,61,=,ASSIGN
ast_0.dot,../ast/code/example.py,___ast_code_example_py,62,0,test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER
ast_0.dot,../ast/code/example.py,___ast_code_example_py,59,),CLOSE_PAREN
ast_0.dot,../ast/code/example.py,___ast_code_example_py,47,EMPTY_TOKEN,NEWLINE
ast_0.dot,../ast/code/example.py,___ast_code_example_py,36,EMPTY_TOKEN,DEDENT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,20,EMPTY_TOKEN,DEDENT
ast_0.dot,../ast/code/example.py,___ast_code_example_py,3,eof,EOF
